year,position,value,category
2017,Software Developers,135925,Tech
2017,Computer Systems Analysts,89557,Tech
2017,Computer Programmers,63573,Tech
2017,Computer Occupations,51091,Tech
2017,Computer Systems Analyst,16817,Tech
2017,Management Analysts,12095,Business
2017,Accountants And Auditors,10737,Accounting
2017,Network And Computer Systems Administrators,10291,Tech
2017,Mechanical Engineers,9373,Engineering
2017,Operations Research Analysts,9019,Business
2017,Financial Analysts,8538,Finance
2017,Database Administrators,7416,Tech
2017,Market Research Analysts And Marketing Specialists,6466,Marketing
2017,Computer And Information Systems Managers,6272,Tech
2017,Electronics Engineers,6225,Engineering
2017,Electrical Engineers,6042,Engineering
2017,Physicians And Surgeons,5405,Healthcare
2017,Web Developers,4923,Tech
2017,Statisticians,4887,Math
2017,Medical Scientists,4434,Science
2017,Biological Scientists,3259,Science
2017,Industrial Engineers,3225,Engineering
2017,Civil Engineers,3214,Engineering
2017,Engineers,3208,Tech
2017,Biochemists And Biophysicists,3072,Science
2017,Physical Therapists,2793,Healthcare
2017,Software Quality Assurance Engineers And Testers,2761,Tech
2017,Sales Engineers,2164,Tech
2017,Financial Specialists,2147,Finance
2017,Marketing Managers,2144,Marketing
2017,Chemists,2126,Science
2017,Graphic Designers,1864,Tech
2017,Health Specialties Teachers,1844,Education
2017,Logisticians,1787,Logistics
2017,Information Security Analysts,1703,Tech
2017,Internists,1661,Healthcare
2017,Computer Systems Engineers/Architects,1631,Tech
2017,Computer And Information Research Scientists,1619,Tech
2017,Financial Managers,1491,Finance
2017,Lawyers,1447,Law
2017,General And Operations Managers,1399,Business
2017,Commercial And Industrial Designers,1354,Industrial
2017,Architectural And Engineering Managers,1296,Architecture
2017,Dentists,1253,Healthcare
2017,Computer Hardware Engineers,1248,Tech
2017,Materials Engineers,1202,Engineering
2017,Human Resources Specialists,1167,Business
2017,Architects,1140,Architecture
2017,Business Teachers,1088,Education
2017,Medical And Clinical Laboratory Technologists,1073,Healthcare
2017,Secondary School Teachers,1054,Education
2017,Elementary School Teachers,1042,Education
2017,Biological Technicians,1012,Science
2017,Chemical Engineers,1010,Science
2017,Engineering Teachers,986,Education
2017,Computer Network Architects,978,Tech
2017,Biomedical Engineers,972,Science
2017,Economists,954,Finance
2017,Compliance Officers,934,Finance
2017,Architectural And Civil Drafters,890,Architecture
2017,Public Relations Specialists,872,Business
2017,Business Operations Specialists,848,Business
2017,Information Technology Project Managers,840,Tech
2017,Computer Network Support Specialists,773,Tech
2017,Materials Scientists,763,Science
2017,Physicists,763,Healthcare
2017,Pharmacists,755,Healthcare
2017,Mathematical Science Teachers,727,Education
2017,Cost Estimators,717,Accounting
2017,Managers,708,Business
2017,Transportation,684,Transportation
2017,Sales Managers,683,Business
2017,Credit Analysts,665,Finance
2017,Healthcare Practitioners And Technical Workers,659,Healthcare
2017,Computer Science Teachers,634,Education
2017,Industrial Production Managers,632,Industrial
2017,Family And General Practitioners,631,Other
2017,Actuaries,631,Math
2017,Medical And Health Services Managers,608,Healthcare
2017,Foreign Language And Literature Teachers,582,Education
2017,Computer User Support Specialists,545,Tech
2017,Food Scientists And Technologists,511,Science
2017,Multimedia Artists And Animators,508,Media
2017,Construction Managers,506,Construction
2017,Budget Analysts,506,Accounting
2017,Interior Designers,504,Other
2017,Mathematicians,502,Math
2018,Software Developers,212485,Tech
2018,Computer Occupations,58202,Tech
2018,Computer Systems Analysts,57281,Tech
2018,Computer Programmers,25249,Tech
2018,Computer Systems Analyst,14133,Tech
2018,Operations Research Analysts,12699,Business
2018,Management Analysts,11952,Business
2018,Mechanical Engineers,10433,Engineering
2018,Accountants And Auditors,10192,Accounting
2018,Database Administrators,9688,Tech
2018,Network And Computer Systems Administrators,9326,Tech
2018,Financial Analysts,9158,Finance
2018,Computer And Information Systems Managers,7813,Tech
2018,Electrical Engineers,7452,Engineering
2018,Statisticians,7311,Math
2018,Electronics Engineers,6567,Engineering
2018,Physicians And Surgeons,6122,Healthcare
2018,Market Research Analysts And Marketing Specialists,6117,Marketing
2018,Medical Scientists,4956,Science
2018,Industrial Engineers,4427,Engineering
2018,Web Developers,4347,Tech
2018,Civil Engineers,4049,Engineering
2018,Biological Scientists,3496,Science
2018,Information Security Analysts,3460,Tech
2018,Engineers,3342,Tech
2018,Financial Specialists,3127,Finance
2018,Biochemists And Biophysicists,2852,Science
2018,Physical Therapists,2675,Healthcare
2018,Computer And Information Research Scientists,2590,Tech
2018,Computer Network Architects,2468,Tech
2018,Sales Engineers,2365,Tech
2018,Chemists,2262,Science
2018,Marketing Managers,2213,Marketing
2018,Health Specialties Teachers,2073,Education
2018,Logisticians,1953,Logistics
2018,Graphic Designers,1851,Tech
2018,Internists,1593,Healthcare
2018,Financial Managers,1562,Finance
2018,Medical And Clinical Laboratory Technologists,1549,Healthcare
2018,Architectural And Engineering Managers,1548,Tech
2018,Lawyers,1487,Law
2018,Architects,1382,Architecture
2018,Software Quality Assurance Engineers And Testers,1375,Tech
2018,Materials Engineers,1346,Engineering
2018,Dentists,1302,Healthcare
2018,Computer Hardware Engineers,1254,Tech
2018,Economists,1211,Finance
2018,Engineering Teachers,1195,Education
2018,Business Teachers,1171,Education
2018,Biomedical Engineers,1136,Science
2018,Healthcare Practitioners And Technical Workers,1132,Healthcare
2018,Commercial And Industrial Designers,1124,Industrial
2018,Compliance Officers,1119,Finance
2018,Elementary School Teachers,1088,Education
2018,Secondary School Teachers,1080,Education
2018,General And Operations Managers,1070,Business
2018,Chemical Engineers,1060,Science
2018,Human Resources Specialists,1013,Business
2018,Computer Systems Engineers/Architects,987,Tech
2018,Physicists,952,Health
2018,Biological Technicians,873,Science
2018,Public Relations Specialists,872,Business
2018,Cost Estimators,800,Accounting
